"id","name","dummy","mas","puede","familias","millones","proyecto","pais","ciudadania","ciudadanos","hoy","medellin","bogota","fuerza","policia","seguridad","hacer","hora","siempre","este","pacto","jovenes","los","atencion","toda","gobierno","aqui","ano","con","puntos","gracias","salud","mujeres","vida","violencia","cambio","colombia","solo","ahora","linea","primera","asi","centro","cada","estan","publica","esta","por","semana","sera","vacunacion","empleo","mejor","reactivacion","social","apoyo","ninos","sector","anos","nueva","hace","politica","medidas","familia","cuidado","pandemia","ser","mundo","dia","ciudad","publico","tambien","gran","las","sistema","democracia","educacion","cali","duque","parte","mil","plan","que","nacional","todas","nuevo","dos","dias","pobreza","derechos","mayor","solidaridad","comunidad","presidente","sino","trabajo","debe","covid19","vacunas","reforma","personas","colombi","justicia","paz","vamos"
"5f993ca6ab24ecb07efc5259","Petro",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.345215779269899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293872911061964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f8734ee208059bc34690fbe8","Lopez",2,0,0,0,0,0,0,0,0,0,0,0.123307298406852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192372881457597,0,0,0.154533204617079,0,0,0,0,0.212851970880074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217700502408898,0.230516035821827
"cfd3678247b29ea7ba1fbe3c","Lopez",2,0,0,0,0,0.586866824758828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.427173310520104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e13d9e299ac5ffd38f503c5a","Lopez",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224033964635775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fc457807261de42e57f5c1c5","Petro",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26125694757395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168581677764086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223596968844148,0,0,0,0,0,0,0,0,0.269264081899124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228212333683333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227758511475487,0,0,0,0
"c43a5b9ee4b2909d5602f2be","Petro",1,0.169148010925285,0,0,0,0,0,0,0,0,0,0,0.305783100849579,0,0,0,0,0,0.290267336545197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.329100544543374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.329100544543374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6d1aa4f4c35db09b737d5a6e","Uribe",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.711955517533507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.972174056309593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65a3186c4f1d3d6825a32f6c","Petro",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.373214238875842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.369654496075088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"225918c8723ff46df2e90453","Petro",1,0,0,0,0,0,0,0,0,0.172432168964221,0,0,0,0,0,0,0,0,0.274990108305976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268865647427461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.623558926503235,0,0,0,0,0,0,0,0,0,0,0,0.281652239704142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33e4bfcd08f6226223b25975","Lopez",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308877276188857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
